Date,open,close,14 period RSI,MACD,SIGNAL,14 period STOCH %K,MFV,14 period ATR,MOM,14 period MFI,ROC,OBV,20 period CCI,14 period EMV,VIm,VIp,ema50,ema21,ema15,ema5,normVol
1994-07-26,45.390625,45.359375,67.43393776278444,0.07700112457348496,0.06485682702139248,79.41176470588235,33814.00912131352,0.26339285714285715,0.546875,45.03715499114477,1.0090466249130132,211500.0,66.46854277858664,0.06949884802375908,0.8050847457627118,1.173728813559322,1.0054395285885973,1.0047493172767445,1.0042034861332645,1.0020913537221776,1.9213879825761606
1994-07-28,45.359375,45.453125,70.34776419039635,0.08029617255274957,0.06979660712147236,88.23529411764706,-1300.2765929721936,0.25,0.078125,56.283254679495755,1.4295676429567643,1039700.0,82.31091886223594,0.015804204161376026,0.7991071428571429,1.1517857142857142,1.0067086532398557,1.0059408498074838,1.0053428404285154,1.0031432913085867,2.5183814905059734
1994-07-29,45.765625,45.90625,79.76958221487203,0.1121856732272164,0.0783733029127839,90.81632653061224,22862.881301764646,0.2578125,0.515625,62.56216439407665,2.262443438914027,1498800.0,162.9803395889184,0.044370336194741,0.696969696969697,1.199134199134199,1.0157248414598548,1.0147528656152647,1.0139772950527841,1.0108699536532721,1.3074196170406118
1994-08-01,45.9375,46.125,82.63771281692638,0.14995211926327556,0.09282233498122187,97.6470588235294,394739.3518899999,0.2544642857142857,0.65625,70.0770564151293,1.6528925619834711,1985100.0,183.92180331138823,0.05805807254448159,0.6096491228070176,1.2456140350877194,1.0193567773253505,1.0181344561546182,1.017142162855608,1.0129796320499072,1.2996583968483475
1994-08-02,46.28125,46.1875,83.36344136243522,0.18159683729644627,0.11070921734073173,85.71428571428571,348784.8064354544,0.26339285714285715,0.8125,69.9939912040762,1.7555938037865748,2490600.0,192.4649210032029,0.05976407307398749,0.6228813559322034,1.194915254237288,1.0195640983736112,1.0181044273081148,1.0169123744494424,1.0118871067760982,1.2750131902982156
1994-08-03,46.171875,46.203125,83.54857927866513,0.20504748452744792,0.1296889070914928,86.90476190476191,428840.36199100997,0.23214285714285715,1.03125,64.039792599423,1.6151202749140896,2634700.0,168.35562761789072,0.037633574303554816,0.7788461538461539,1.2211538461538463,1.0188218811109255,1.0171505290966067,1.0157872598535322,1.0101389649797239,0.40733742722720234
1994-08-04,46.171875,45.9375,69.4077887357042,0.2025799670296493,0.14433628938633505,66.66666666666666,221529.8356752205,0.2421875,0.671875,60.21464587580815,1.2396694214876034,2403000.0,119.98336452484959,-0.0011355459786561261,0.7972350230414746,1.087557603686636,1.0122843350436814,1.0105309295414988,1.009120289025034,1.0035978436512536,0.695465519308669
1994-08-05,45.703125,45.78125,62.686613886354294,0.1874188989666834,0.15298548704731507,54.761904761904766,267663.16900855384,0.24888392857142858,0.4375,57.685892462914644,1.349014181943964,2264600.0,58.42602087770459,-0.046603810593455294,0.9103139013452914,1.0089686098654709,1.008393494308914,1.0066216034064193,1.005224075290166,1.0001532078932014,0.46078870420293155
1994-08-08,45.828125,45.890625,65.22515886735565,0.18110030478145944,0.15862549647669907,63.095238095238095,399103.16900855384,0.24665178571428573,0.484375,69.45595286286085,1.3807386952019332,2593200.0,69.27702933375323,-0.042545614035405514,0.8778280542986425,1.0497737556561086,1.0102708643248364,1.0084368179682068,1.0070115584959713,1.0021142386448985,1.077011079141587
1994-08-09,45.71875,45.96875,66.95453218166847,0.17959870148965962,0.16283030408024804,68.67469879518072,505003.16900855384,0.23995535714285715,0.609375,73.37402561719938,1.3783597518952446,2699100.0,62.70358306188817,-0.01412398466784125,0.8186046511627907,1.1255813953488372,1.0114165688674623,1.0095021732002245,1.0080317542490058,1.0031768396420484,0.38982612830896696
1994-08-10,46.0,46.140625,70.43766257216099,0.18862441996859758,0.16799912521203503,80.51948051948052,1030190.6690085538,0.2421875,0.78125,77.95442243799602,1.6173434273916036,3539400.0,93.51927809680105,-0.0009884194085307552,0.7235023041474654,1.1843317972350231,1.0144879084960254,1.0124375725654673,1.0108707224604516,1.0057593216341125,2.2895745755834254
1994-08-11,46.03125,45.96875,63.257199211283414,0.1810831276373719,0.170619981275425,66.23376623376623,975428.1690085538,0.26674107142857145,0.515625,65.22129651328942,1.3434378229417845,2663200.0,63.494667760459215,-0.014525568141977396,0.7656903765690377,1.0669456066945606,1.0102233776238252,1.0081299439770035,1.0065538619048597,1.0016750995147872,1.9371782466369383
